name,online_order,book_table,rate,votes,rest_type,cuisines,cost,locality
Peppy Peppers,No,No,4.2,244,Casual Dining,"Italian, North Indian, Mexican",800.0,
Goa 0 Km,Yes,Yes,3.6,163,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Banashankari
Chinese Kitchen,Yes,No,3.8,58,Quick Bites,Chinese,150.0,Banashankari
1947,No,Yes,4.0,808,Casual Dining,"North Indian, Chinese",850.0,Banashankari
Cake of the Day,No,No,3.7,78,"Bakery, Dessert Parlor",Bakery,150.0,Banashankari
Kabab Magic,Yes,No,4.1,1720,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Banashankari
Namma Brahmin's Idli,Yes,No,3.6,34,Quick Bites,South Indian,100.0,Banashankari
Gustoes Beer House,No,No,4.1,868,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Banashankari
Sugar Rush,No,No,3.8,39,Bakery,"Bakery, Desserts",300.0,Banashankari
Burger King,Yes,No,3.2,71,Quick Bites,"Burger, Fast Food, Beverages",600.0,Banashankari
The Good Bowl,Yes,No,3.6,6,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Banashankari
The Biryani Cafe,No,No,4.1,520,Quick Bites,"Biryani, Chinese, Kebab",300.0,Banashankari
Spicy Tandoor,No,No,,0,Quick Bites,North Indian,150.0,Banashankari
LSD Cafe,No,No,2.9,84,Delivery,"Chinese, Continental, Italian, North Indian",700.0,
Rolls On Wheels,No,No,3.6,299,Quick Bites,"Fast Food, Rolls, Momos",300.0,Banashankari
Om Sri Vinayaka Chats,No,No,,0,"Takeaway, Delivery","Street Food, Fast Food",500.0,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Quick Bites,South Indian,150.0,Banashankari
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Quick Bites,"Biryani, South Indian",300.0,Banashankari
Kolbeh,No,No,3.7,22,Quick Bites,Fast Food,500.0,Banashankari
Upahar Sagar,No,No,3.8,39,Quick Bites,"South Indian, Chinese, North Indian",350.0,Banashankari
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Banashankari
Frozen Bottle,Yes,No,4.2,146,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Banashankari
Parimala Sweets,No,No,3.5,14,Sweet Shop,"Mithai, Street Food",200.0,Banashankari
Vaishali Deluxe,No,No,3.8,42,Casual Dining,"North Indian, Chinese",700.0,Banashankari
Chill Out,No,No,,0,Quick Bites,"South Indian, Chinese",100.0,Banashankari
The Big O Bakes,No,No,4.0,66,Bakery,"Bakery, Desserts",300.0,Banashankari
Meghana Foods,Yes,No,4.4,4401,Casual Dining,"Biryani, North Indian, Chinese",600.0,Banashankari
Krishna Sagar,No,No,3.5,31,Quick Bites,North Indian,200.0,Banashankari
Dessert Rose,No,No,3.5,7,Dessert Parlor,Desserts,500.0,Banashankari
Chickpet Donne Biryani House,No,No,3.7,21,Quick Bites,Biryani,250.0,Banashankari
Me And My Cake,No,No,,0,Delivery,"Bakery, Desserts",500.0,Banashankari
Sunsadm,No,No,,0,"Takeaway, Delivery",South Indian,400.0,Banashankari
Annapooraneshwari Mess,No,No,,0,Mess,South Indian,200.0,Banashankari
Thanco's Natural Ice Creams,No,No,3.2,9,Dessert Parlor,Ice Cream,300.0,Banashankari
Nandhini Deluxe,No,No,2.6,283,Casual Dining,North Indian,600.0,Banashankari
Vi Ra's Bar and Restaurant,No,No,3.3,62,Bar,"South Indian, North Indian, Chinese",800.0,Banashankari
Kaggis,No,No,3.8,64,Quick Bites,"Fast Food, Bakery",250.0,Banashankari
Ayda Persian Kitchen,No,No,3.7,39,Casual Dining,"North Indian, Iranian",950.0,Banashankari
Chatar Patar,No,No,3.7,65,Quick Bites,"Fast Food, Street Food",300.0,Banashankari
Polar Bear,Yes,No,3.8,71,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Banashankari
Kidambi's Kitchen,No,No,3.5,52,Quick Bites,South Indian,300.0,Banashankari
Mane Thindi,No,No,3.7,130,Quick Bites,South Indian,200.0,Banashankari
Kotian Karavali Restaurant,No,No,3.5,10,Quick Bites,"South Indian, Biryani",300.0,Banashankari
Floured-Baked With Love,No,No,3.8,45,"Takeaway, Delivery",Bakery,400.0,Banashankari
Cakes & Slices,No,No,3.5,13,Bakery,"Bakery, Desserts",300.0,Banashankari
Spice 9,No,No,3.4,8,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0,Banashankari
Coffee Shopee,No,No,,0,"Takeaway, Delivery",Beverages,250.0,Banashankari
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Quick Bites,Biryani,300.0,Banashankari
Katriguppe Donne Biryani,No,No,3.2,4,Quick Bites,North Indian,300.0,Banashankari
Hari Super Sandwich,No,No,,0,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200.0,Banashankari
Atithi Point Ande Ka Funda,No,No,3.1,29,Quick Bites,North Indian,150.0,Banashankari
Just Bake,No,No,3.4,8,Bakery,"Bakery, Desserts",400.0,Banashankari
Dharwad Line Bazaar Mishra Pedha,No,No,,0,Dessert Parlor,Mithai,150.0,Banashankari
Cake Bite,No,No,,0,Bakery,Bakery,300.0,Banashankari
Aarush's Food Plaza,No,No,,0,Quick Bites,"North Indian, Street Food",200.0,Banashankari
Wood Stove,No,No,,0,"Takeaway, Delivery",South Indian,150.0,Banashankari
Kulfi & More,No,No,,0,Dessert Parlor,"Ice Cream, Desserts, Juices",150.0,Banashankari
Kannadigas Karavali,No,No,,0,Quick Bites,"Mangalorean, South Indian, North Indian",250.0,Banashankari
K27 - The Pub,No,No,3.1,30,Bar,"Chinese, North Indian",1000.0,Banashankari
Bengaluru Coffee House,Yes,No,4.1,201,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Banashankari
New Mangalore Lunch Home,No,No,3.3,7,Quick Bites,"Mangalorean, South Indian, North Indian",200.0,Banashankari
Coffee Bytes,No,No,3.1,6,Quick Bites,"Fast Food, South Indian",100.0,Banashankari
Parjanya Chat Zone,No,No,3.3,17,Quick Bites,"Street Food, Fast Food",200.0,Banashankari
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Dessert Parlor,"Ice Cream, Desserts",200.0,Banashankari
Soms Kitchen & Bakes,No,No,,0,Delivery,"South Indian, North Indian, Continental",400.0,Banashankari
Banashankari Nati Style,No,No,,0,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350.0,Banashankari
Ruchi Maayaka,No,No,3.3,8,Delivery,South Indian,100.0,Banashankari
Mohitesh Hut Roll,No,No,,0,Quick Bites,"Rolls, North Indian",150.0,Banashankari
Sri Basaveshwar Jolada Rotti Oota,No,No,,0,Quick Bites,South Indian,150.0,Banashankari
Roll Magic Fast Food,No,No,,0,"Takeaway, Delivery","Biryani, Rolls, Chinese",200.0,Banashankari
Foodlieious Multi Cuisine,No,No,,0,Quick Bites,North Indian,100.0,Banashankari
Thanishka Nati And Karavali Style,No,No,,0,Quick Bites,"Biryani, Fast Food",400.0,Banashankari
Swathi Cool Point,No,No,,0,Beverage Shop,"Beverages, Juices",200.0,Banashankari
Kaumudis Juoice,No,No,,0,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150.0,Banashankari
Amma - Manae,No,No,,0,"Takeaway, Delivery",South Indian,400.0,Banashankari
Sri Sai Tiffannies,No,No,,0,Quick Bites,"South Indian, Chinese",150.0,Banashankari
Hotel Andhra Speices,No,No,,0,Quick Bites,Andhra,250.0,Banashankari
Sri Murari Family Restaurant,No,No,,0,Quick Bites,Biryani,250.0,Banashankari
Aramane Donne Biriyani,No,No,,0,Quick Bites,"South Indian, Biryani",150.0,Banashankari
Darkolates,No,No,,0,Confectionery,Desserts,200.0,Banashankari
Swaada Healthy Kitchen,No,No,,0,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350.0,Banashankari
Gawdaru Mane Beriyani,No,No,,0,Quick Bites,"South Indian, Biryani",300.0,Banashankari
Melting Melodies,No,No,,0,"Takeaway, Delivery","Pizza, Fast Food",100.0,Banashankari
New Indraprasta,No,No,,0,Quick Bites,"South Indian, Beverages",150.0,Banashankari
Anna Kuteera,Yes,No,4.0,771,Casual Dining,"South Indian, North Indian, Chinese",450.0,Banashankari
Darbar,No,No,3.0,98,Bar,"North Indian, Chinese",800.0,Banashankari
Vijayalakshmi,Yes,No,3.9,47,Quick Bites,South Indian,200.0,Banashankari
Sri Udupi Food Hub,Yes,Yes,4.1,175,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,Banashankari
Udupi Upahar,Yes,No,3.8,58,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0,Banashankari
House Of Kebabs,Yes,No,3.8,540,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0,Banashankari
Roll N Rock,Yes,No,3.8,124,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0,Banashankari
BOX8- Desi Meals,Yes,No,4.1,340,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Banashankari
KFC,Yes,No,3.8,505,Quick Bites,"Burger, Fast Food",450.0,Banashankari
Bitez,No,No,,0,Quick Bites,Fast Food,100.0,Banashankari
Roll Over,Yes,No,4.1,438,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Banashankari
Imperial Restaurant,Yes,No,3.7,264,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0,Banashankari
Lassi Shop,Yes,No,3.9,169,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,Banashankari
The Fortuna,Yes,No,3.0,67,Quick Bites,"North Indian, Chinese",250.0,Banashankari
Wahab,Yes,No,3.7,97,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Banashankari
Al Diwan Biryanis And More,Yes,No,3.3,12,"Takeaway, Delivery",Biryani,300.0,Banashankari
New Gowda's Fried Chicken,Yes,No,3.3,12,Quick Bites,Biryani,300.0,Banashankari
Canton,Yes,No,3.6,195,Casual Dining,"Chinese, Seafood, Biryani",800.0,Banashankari
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0,Banashankari
The Blue Wagon - Kitchen,Yes,No,4.6,228,Cafe,"Cafe, Beverages",400.0,Banashankari
HOT COFFEE,Yes,No,4.1,70,Quick Bites,"South Indian, Chinese",150.0,Banashankari
Patio 805,Yes,Yes,4.1,364,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200.0,Banashankari
Lassi Corner,Yes,No,3.7,107,Beverage Shop,"Beverages, Ice Cream",150.0,Banashankari
Sagar Deluxe,Yes,No,3.2,167,Quick Bites,"South Indian, North Indian, Chinese, Juices",300.0,Banashankari
Kanti Sweets,Yes,No,4.0,115,Sweet Shop,"Mithai, Street Food",400.0,Banashankari
Vegetalia,Yes,No,3.7,27,"Takeaway, Delivery","Italian, Pizza",400.0,Banashankari
Aramane Donne Biryani,Yes,No,3.5,57,Quick Bites,Biryani,200.0,Banashankari
Ande Ka Funda,Yes,No,3.8,120,Quick Bites,"North Indian, Fast Food, Rolls",250.0,Banashankari
Cake Ghar,Yes,No,3.8,15,Bakery,Bakery,400.0,Banashankari
Energy Addaa,Yes,No,4.2,64,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Banashankari
Bhattara Bhojana,Yes,No,3.6,66,Quick Bites,South Indian,150.0,Banashankari
Tandoori Knight,Yes,No,3.0,290,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450.0,Banashankari
Dev Sagar - Food Street,Yes,No,4.1,233,Quick Bites,Street Food,200.0,Banashankari
Mitraa Da Pizza,Yes,No,3.8,115,Quick Bites,"Fast Food, Pizza",250.0,Banashankari
Paradise Premium,Yes,No,3.1,119,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Banashankari
Grazers,Yes,Yes,3.9,291,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650.0,Banashankari
Shakes Theory,Yes,No,4.5,155,Beverage Shop,"Beverages, Sandwich",300.0,Banashankari
@Italy,Yes,No,4.1,305,Casual Dining,Italian,700.0,Banashankari
Chilli Flakes,Yes,No,3.6,46,Quick Bites,"Fast Food, Italian, Beverages",500.0,Banashankari
Calcutta Cafe,Yes,No,3.5,45,Quick Bites,"Bengali, Chinese, Sandwich",350.0,Banashankari
Old Mumbai Ice Cream,Yes,No,3.9,38,Dessert Parlor,Ice Cream,150.0,Banashankari
Donne Biriyani House,Yes,No,3.9,441,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400.0,Banashankari
By 2 Coffee,Yes,No,3.9,25,Quick Bites,South Indian,100.0,Banashankari
Kedia's Fun Food,Yes,No,4.3,630,Quick Bites,"North Indian, Street Food, Juices",200.0,Banashankari
Davangere Butter Dosa Hotel,Yes,No,3.8,25,Quick Bites,South Indian,150.0,Banashankari
Just Shawarma,Yes,No,3.9,160,Quick Bites,Arabian,300.0,Banashankari
Mini Punjabi Dhaba,Yes,No,4.2,287,Quick Bites,North Indian,350.0,Banashankari
Mulabagilu Dosa,Yes,No,3.6,11,Quick Bites,South Indian,100.0,Banashankari
Gokul Veg,Yes,No,3.8,469,Casual Dining,"North Indian, Chinese, Beverages",750.0,Banashankari
Olive - Era,Yes,No,3.3,511,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Banashankari
Udupi Ruchi,Yes,No,3.9,57,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Banashankari
Madhappa Hindu Military Hotel,Yes,No,3.4,14,Quick Bites,South Indian,300.0,Banashankari
Gama Gama,Yes,No,3.9,264,Quick Bites,South Indian,200.0,Banashankari
Pizza Hut,Yes,No,3.8,693,Casual Dining,"Pizza, Fast Food",750.0,Banashankari
Mangalore Pearl,Yes,No,3.8,242,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0,Banashankari
Asha Sweets Centre,Yes,No,3.6,27,Dessert Parlor,Fast Food,250.0,Banashankari
Twiststick House,Yes,No,4.1,163,Quick Bites,"Continental, Fast Food, Street Food, Momos",500.0,Banashankari
Cool Corner,Yes,No,4.2,191,Quick Bites,"Street Food, Fast Food",250.0,Banashankari
Pizza Mane,Yes,No,3.5,32,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150.0,Banashankari
Dal Tadkaa,Yes,No,2.5,247,Casual Dining,North Indian,500.0,
Chutney Chang,Yes,Yes,4.1,2339,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Banashankari
Mystique Palate,Yes,No,4.1,337,Quick Bites,"Chinese, Fast Food",300.0,Banashankari
Thamboola,Yes,No,3.9,135,Casual Dining,"North Indian, Chinese, Continental",800.0,Banashankari
Castle Rock,Yes,No,3.6,172,Casual Dining,"North Indian, Chinese",700.0,Banashankari
Vietnamese Kitchen,Yes,No,3.6,105,Casual Dining,Vietnamese,700.0,Banashankari
C Corner,Yes,No,3.2,36,Quick Bites,"Fast Food, Street Food",200.0,Banashankari
Paratha Merchant,Yes,No,3.1,39,Quick Bites,North Indian,300.0,Banashankari
North Rasoe,Yes,No,3.1,5,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500.0,Banashankari
Inchara Restaurant,Yes,No,,0,Quick Bites,"North Indian, Chinese",300.0,Banashankari
Toscano,Yes,Yes,4.3,1129,Casual Dining,"Italian, Salad",1300.0,Banashankari
Lord Of The Kitchen,Yes,No,3.9,56,Quick Bites,"North Indian, Chinese",350.0,Banashankari
Stoned Monkey,Yes,No,4.3,860,Dessert Parlor,"Desserts, Ice Cream",500.0,Banashankari
Central Jail Restaurant,Yes,No,3.8,412,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700.0,Banashankari
Bella,Yes,Yes,3.9,142,Casual Dining,"Mangalorean, Seafood, South Indian",1000.0,Banashankari
Vennela Andhra Meals,Yes,No,3.0,23,Quick Bites,Andhra,400.0,Banashankari
New Prashanth Hotel,Yes,No,3.6,143,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0,Banashankari
The Grillo,Yes,Yes,2.8,80,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,Banashankari
Re Malnad Nati Style Hotel,Yes,No,3.6,16,Casual Dining,South Indian,400.0,Banashankari
Karma Kaapi,Yes,No,4.4,181,Beverage Shop,"Beverages, Tea",250.0,Banashankari
Tiwari's,Yes,No,3.8,70,Quick Bites,"North Indian, Street Food",200.0,Banashankari
Pizza Stop,Yes,No,3.8,164,Quick Bites,"Pizza, Italian",600.0,Banashankari
Biggies Burger 'n' More,Yes,No,3.6,58,Quick Bites,"Cafe, Burger, Beverages",650.0,Banashankari
Kollapuri's,No,No,3.9,206,Quick Bites,"South Indian, Mangalorean",450.0,Banashankari
Sugar Stars Co,No,No,,0,Bakery,"Bakery, Desserts",300.0,Banashankari
Bombay Kulfis,No,No,,0,Dessert Parlor,Ice Cream,200.0,Banashankari
Kadamba Classic,No,No,3.6,16,Quick Bites,South Indian,300.0,Banashankari
RS Shiv Sagar,No,No,3.7,217,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0,Banashankari
Kholi Mane,No,No,3.6,46,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450.0,Banashankari
Harshi Super Sandwich,No,No,3.8,148,Quick Bites,"Fast Food, Street Food",150.0,Banashankari
Cake Yard,No,No,3.4,30,Dessert Parlor,Desserts,250.0,Banashankari
Sri Udupi Veg,No,No,3.3,4,Quick Bites,South Indian,250.0,Banashankari
Cake Art,No,No,3.5,15,"Bakery, Quick Bites",Bakery,400.0,Banashankari
Aahar Cafe,No,No,,0,Quick Bites,South Indian,100.0,Banashankari
Akash Gowdru Biryani Center,No,No,,0,Quick Bites,"North Indian, Chinese",300.0,Banashankari
New Sri Udupi Restaurant,No,No,,0,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",200.0,Banashankari
Potato House,Yes,No,3.4,9,Quick Bites,Street Food,200.0,Banashankari
Hotel Biriyani Counter,No,No,,0,Quick Bites,"North Indian, Chinese, Biryani",350.0,Banashankari
Matru Sagar,Yes,No,3.7,31,Quick Bites,"South Indian, North Indian",300.0,Banashankari
Ugadi,Yes,No,2.9,177,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,
Sri Krishna Sweets,Yes,No,3.7,22,Sweet Shop,"Mithai, Desserts",250.0,Banashankari
In Time Cane Juice,Yes,No,3.5,10,Beverage Shop,"Juices, Beverages",100.0,Banashankari
Subway,Yes,No,3.7,136,Quick Bites,"Salad, Fast Food",600.0,Banashankari
Daal Roti,Yes,No,2.9,35,Quick Bites,"North Indian, Chinese",250.0,Banashankari
The Lassi Park,Yes,No,4.1,185,Quick Bites,"Juices, Desserts",200.0,Banashankari
A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400.0,Banashankari
Srikrishna Bhavan,Yes,No,3.8,42,Quick Bites,"South Indian, North Indian, Chinese",300.0,Banashankari
Green Gardenia,Yes,No,3.8,160,Casual Dining,"North Indian, Chinese",700.0,Banashankari
J Spice,Yes,No,3.8,59,Casual Dining,"North Indian, Chinese",750.0,Banashankari
Karavali Family Restaurant,Yes,No,3.5,90,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0,Banashankari
Karavali Lunch Home,Yes,No,3.7,51,Quick Bites,"South Indian, Mangalorean",350.0,Banashankari
Hatti Kaapi,Yes,No,4.0,89,Quick Bites,"South Indian, Beverages",200.0,Banashankari
Kolkata Kathi Roll's,Yes,No,3.6,18,Quick Bites,"Fast Food, Rolls",250.0,Banashankari
Upahara Darshini,Yes,No,3.9,40,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600.0,Banashankari
The Chaat Shop,Yes,No,2.5,35,Quick Bites,Fast Food,200.0,Banashankari
Anda Ka Funda,Yes,No,3.4,89,Quick Bites,"North Indian, Chinese, Rolls",250.0,Banashankari
Shri Vinayaka Ice N Juice,Yes,No,3.2,11,Quick Bites,"Beverages, Fast Food",150.0,Banashankari
Ibaco,Yes,No,3.9,33,Dessert Parlor,Desserts,300.0,Banashankari
Jalaram Sweets,Yes,No,3.8,32,Sweet Shop,"Desserts, Mithai",250.0,Banashankari
Samskruti - Sanman Gardenia,Yes,No,4.1,139,Casual Dining,"North Indian, Chinese, South Indian",550.0,Banashankari
Bendakaluru Bytes,Yes,No,3.2,154,Quick Bites,Fast Food,300.0,Banashankari
Cocoa Bakes,Yes,No,3.6,14,Bakery,"Bakery, Desserts",350.0,Banashankari
Chumma Delicious,Yes,No,3.7,237,Quick Bites,"South Indian, Fast Food",200.0,Banashankari
SSV Upahar,Yes,No,,0,Quick Bites,"South Indian, Chinese",300.0,Banashankari
Dwaraka Grand,Yes,No,3.9,128,Casual Dining,"South Indian, Chinese, Street Food, Juices",500.0,Banashankari
Gufha - The President Hotel,Yes,Yes,4.1,1875,Casual Dining,"North Indian, Afghani, Mughlai",1200.0,Banashankari
Tanna's Kitchen,Yes,No,3.1,7,Quick Bites,"Italian, Chinese, Street Food",250.0,Banashankari
Shree Mandarathi Grand,Yes,No,3.7,38,Casual Dining,"South Indian, North Indian",400.0,Banashankari
Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Delivery,Pizza,600.0,Banashankari
Iceberg Icecreams,Yes,No,4.0,43,Dessert Parlor,"Desserts, Ice Cream",250.0,Banashankari
South Kitchen,Yes,No,4.3,275,Quick Bites,South Indian,100.0,Banashankari
